,Name,Competition,Region,Year,Instrument,Prize,Gender
100, Eric Lu,Chopin,USA/Canada,2015,piano,4,0
101, Tony Yike Yang,Chopin,USA/Canada,2015,piano,5,0
102, Dmitry Shishkin,Chopin,Europe,2015,piano,6,0
103, Stanislav Khristenko,Cleveland,Europe,2013,piano,1,0
104, Arseny Tarasevich-Nikolaev,Cleveland,Europe,2013,piano,2,0
105, François Dumont,Cleveland,Europe,2013,piano,3,0
106, Jiayan Sun,Cleveland,Asia,2013,piano,4,0
107, Alexander Schimpf,Cleveland,Europe,2011,piano,1,0
108, Alexei Chernov,Cleveland,Europe,2011,piano,2,0
109, Eric Zuber,Cleveland,USA/Canada,2011,piano,3,0
110, Kyu Yeon Kim,Cleveland,Asia,2011,piano,4,1
111, Martina Filjak,Cleveland,Europe,2009,piano,1,1
112, Dmitri Levkovich,Cleveland,USA/Canada,2009,piano,2,0
113, William Youn,Cleveland,Asia,2009,piano,3,0
114, Evgeny Brakhman,Cleveland,Europe,2009,piano,4,0
115, Alexander Ghindin,Cleveland,Europe,2007,piano,1,0
116, Yaron Kohlberg,Cleveland,Other,2007,piano,2,0
117, Alexandre Moutouzkine,Cleveland,Europe,2007,piano,3,0
118, Ran Dank,Cleveland,Other,2007,piano,4,0
119, Chu-Fang Huang,Cleveland,Asia,2005,piano,1,1
120, Sergey Kuznetsov,Cleveland,Europe,2005,piano,2,0
121, Stanislav Khristenko,Cleveland,Europe,2005,piano,3,0
122, Spencer Myer,Cleveland,USA/Canada,2005,piano,4,0
123, Kotaro Fukuma,Cleveland,Asia,2003,piano,1,0
124, Soyeon Lee,Cleveland,Asia,2003,piano,2,1
125, Konstantin Soukhovetski,Cleveland,Europe,2003,piano,3,0
126, Andrius Zlabys,Cleveland,Europe,2003,piano,4,0
127, Roberto Plano,Cleveland,Europe,2001,piano,1,0
128, Minsoo Sohn,Cleveland,Asia,2001,piano,2,0
129, Özgür Aydin,Cleveland,Other,2001,piano,3,0
130, Gilles Vonsattel,Cleveland,Europe,2001,piano,4,0
131, Antonio Pompa-Baldi,Cleveland,Europe,1999,piano,1,0
132, Vassily Primakov,Cleveland,Europe,1999,piano,2,0
133, Shoko Inoue,Cleveland,Asia,1999,piano,3,1
134, Sean Botkin,Cleveland,USA/Canada,1999,piano,4,0
135, Per Tengstrand,Cleveland,Europe,1997,piano,1,0
136, Gulnora Alimova,Cleveland,Other,1997,piano,2,1
137, Ning An,Cleveland,Asia,1997,piano,3,0
138, Dror Biran,Cleveland,Other,1997,piano,4,0
139, Margarita Shevchenko,Cleveland,Europe,1995,piano,1,1
140,/ Marina Lomazov,Cleveland,Europe,1995,piano,2,1
141, Dmitri Teterin,Cleveland,Europe,1995,piano,3,0
142, Giampaolo Stuani,Cleveland,Europe,1995,piano,4,0
143, Amir Katz,Cleveland,Other,1993,piano,1,0
144, Seizo Azuma,Cleveland,Asia,1993,piano,3,0
145, Yuko Nakamichi,Cleveland,Asia,1993,piano,3,1
146, Katsunori Ishii,Cleveland,Asia,1993,piano,4,0
147, Ilya Itin,Cleveland,Europe,1991,piano,1,0
148, Anders Martinson,Cleveland,USA/Canada,1991,piano,2,0
149, Markus Pawlik,Cleveland,Europe,1991,piano,3,0
150, Jean-François Bouvery,Cleveland,Europe,1991,piano,4,0
151, Timothy Bozarth,Cleveland,USA/Canada,1991,piano,5,0
152,/ Hsin-Bei Lee,Cleveland,Asia,1991,piano,6,1
153, Sergei Babayan (USSR),Cleveland,Europe,1989,piano,1,0
154, Nicholas Angelich,Cleveland,USA/Canada,1989,piano,2,0
155, Megumi Kaneko,Cleveland,Asia,1989,piano,3,1
156, Pascal Godart,Cleveland,Europe,1989,piano,4,0
157, François Chaplin,Cleveland,Europe,1989,piano,5,0
158, Eglé Januleviciuté (USSR),Cleveland,Europe,1989,piano,6,1
159, Thierry Huillet,Cleveland,Europe,1987,piano,1,0
160, Asaf Zohar,Cleveland,Other,1987,piano,2,0
161, Jonathan Bass,Cleveland,USA/Canada,1987,piano,3,0
162,/ Beatrice Hsin-Chen Long,Cleveland,Asia,1987,piano,4,1
163, Takayuki Ito,Cleveland,Asia,1987,piano,5,0
164, Hiroko Atsumi,Cleveland,Asia,1987,piano,6,1
165, Daejin Kim,Cleveland,Asia,1985,piano,1,0
166, Benedetto Lupo,Cleveland,Europe,1985,piano,2,0
167, Hélène Jeanney,Cleveland,Europe,1985,piano,3,1
168, Neil Rutman,Cleveland,USA/Canada,1985,piano,4,0
169, Yves Henry,Cleveland,Europe,1985,piano,5,0
170, Dan-Wen Wei,Cleveland,Asia,1985,piano,6,0
171, Youngshin An,Cleveland,Asia,1983,piano,1,1
172, Mayumi Kameda,Cleveland,Asia,1983,piano,2,1
173, Stéphane Lemelin,Cleveland,USA/Canada,1983,piano,3,0
174, Roy Kogan,Cleveland,USA/Canada,1983,piano,4,0
175,/ Dimitry Cogan,Cleveland,Other,1983,piano,5,0
176, Silke-Thora Matthies,Cleveland,Europe,1983,piano,6,1
177, Philippe Bianconi,Cleveland,Europe,1981,piano,1,0
178, Dan Riddle,Cleveland,USA/Canada,1981,piano,2,0
179, Rémy Loumbrozo,Cleveland,Europe,1981,piano,3,0
180, Roy Kogan,Cleveland,USA/Canada,1981,piano,4,0
181, Timothy Smith,Cleveland,USA/Canada,1981,piano,5,0
182, Michael Boriskin,Cleveland,USA/Canada,1981,piano,6,0
183, Edward Newman,Cleveland,USA/Canada,1979,piano,1,0
184, Jean-Yves Thibaudet,Cleveland,Europe,1979,piano,2,0
185, Angela Hewitt,Cleveland,USA/Canada,1979,piano,3,1
186, Frederick Blum,Cleveland,USA/Canada,1979,piano,4,0
187,Peter Vinograde,Cleveland,USA/Canada,1979,piano,5,0
188, Douglas Weeks,Cleveland,USA/Canada,1979,piano,6,0
189, Nathalie Bera-Tagrine,Cleveland,Europe,1977,piano,1,1
190, Barry Salwen,Cleveland,USA/Canada,1977,piano,2,0
191, Douglas Montgomery,Cleveland,USA/Canada,1977,piano,3,0
192, Laura Silverman,Cleveland,USA/Canada,1977,piano,4,1
193, Géry Moutier,Cleveland,Europe,1977,piano,5,0
194, Sandra Shuler,Cleveland,USA/Canada,1977,piano,6,1
195, John Owings,Cleveland,USA/Canada,1975,piano,1,0
196, Julian Martin,Cleveland,USA/Canada,1975,piano,2,0
197, John-Patrick Millow,Cleveland,Europe,1975,piano,3,0
